Category,Articles,Websites
technology,20,"https://techcrunch.com/, https://www.wired.com/, https://www.theverge.com/"
health,4,"https://www.health.com/, https://www.mayoclinic.org/diseases-conditions, https://www.webmd.com/"
finance,7,"https://www.bloomberg.com/, https://www.cnbc.com/, https://www.investopedia.com/"
sports,20,"https://www.espn.com/, https://sports.yahoo.com/, https://www.cbssports.com/"
entertainment,26,"https://variety.com/, https://www.hollywoodreporter.com/, https://deadline.com/"
science,10,"https://www.scientificamerican.com/, https://www.livescience.com/, https://www.nature.com/news"
travel,10,"https://www.travelandleisure.com/, https://www.lonelyplanet.com/, https://www.nationalgeographic.com/travel/"
food,13,"https://www.allrecipes.com/, https://www.epicurious.com/, https://www.bonappetit.com/"
education,14,"https://www.edutopia.org/, https://www.edweek.org/, https://www.insidehighered.com/"
environment,10,"https://www.nationalgeographic.com/environment/, https://www.nature.org/, https://www.ecowatch.com/"
politics,0,"https://www.politico.com/, https://thehill.com/, https://www.fivethirtyeight.com/"
fashion,11,"https://www.vogue.com/, https://www.elle.com/, https://www.harpersbazaar.com/"
art,14,"https://www.artnews.com/, https://www.artforum.com/, https://news.artnet.com/"
automotive,20,"https://www.caranddriver.com/, https://www.motortrend.com/, https://www.autocar.co.uk/"
business,21,"https://www.forbes.com/, https://www.entrepreneur.com/, https://hbr.org/"
real_estate,5,"https://www.realtor.com/news/, https://www.zillow.com/blog/, https://www.redfin.com/news/"
gaming,0,"https://www.ign.com/, https://www.gamespot.com/, https://kotaku.com/"
pets,1,"https://www.akc.org/, https://www.petmd.com/, https://www.thesprucepets.com/"
history,6,"https://www.history.com/, https://www.historyextra.com/, https://www.ancient-origins.net/"
psychology,10,"https://www.psychologytoday.com/, https://www.apa.org/, https://www.verywellmind.com/"
